iter	Passed	Remaining
0	1	1753
1	3	1651
2	4	1523
3	5	1430
4	6	1390
5	7	1322
6	9	1308
7	10	1298
8	11	1286
9	12	1286
10	14	1322
11	16	1389
12	18	1413
13	20	1444
14	22	1453
15	24	1482
16	25	1491
17	27	1522
18	28	1476
19	31	1538
20	32	1500
21	32	1464
22	33	1431
23	34	1404
24	35	1377
25	35	1342
26	36	1316
27	37	1294
28	38	1274
29	38	1254
30	39	1236
31	40	1220
32	41	1206
33	41	1192
34	43	1188
35	43	1176
36	44	1164
37	45	1152
38	46	1140
39	47	1129
40	47	1117
41	48	1102
42	48	1088
43	49	1075
44	50	1062
45	50	1054
46	51	1047
47	52	1040
48	53	1032
49	53	1021
50	54	1010
51	55	1006
52	55	999
53	58	1017
54	59	1021
55	60	1025
56	62	1034
57	63	1026
58	64	1026
59	66	1037
60	67	1035
61	67	1028
62	69	1030
63	70	1032
64	71	1034
65	73	1037
66	73	1026
67	74	1019
68	76	1028
69	76	1021
70	78	1027
71	79	1020
72	80	1018
73	81	1020
74	82	1022
75	84	1025
76	85	1027
77	87	1029
78	88	1031
79	89	1033
80	91	1036
81	92	1040
82	93	1036
83	94	1030
84	95	1025
85	95	1019
86	96	1015
87	97	1010
88	97	1001
89	98	997
90	99	992
91	100	987
92	100	982
93	101	978
94	102	973
95	102	969
96	103	965
97	104	961
98	105	956
99	105	952
100	106	947
101	107	944
102	107	940
103	109	940
104	111	947
105	112	944
106	112	941
107	114	946
108	116	952
109	118	955
110	119	957
111	121	960
112	123	966
113	123	962
114	125	965
115	126	967
116	127	964
117	129	967
118	130	968
119	132	974
120	133	969
121	134	966
122	134	960
123	135	957
124	136	954
125	137	951
126	137	948
127	138	944
128	139	941
129	140	938
130	140	935
131	141	932
132	142	928
133	143	927
134	145	929
135	146	930
136	147	928
137	148	925
138	148	922
139	149	919
140	151	919
141	151	917
142	152	914
143	153	911
144	154	909
145	155	907
146	155	904
147	156	902
148	157	899
149	158	897
150	158	893
151	159	890
152	160	888
153	161	885
154	162	883
155	162	880
156	163	878
157	164	876
158	165	873
159	166	871
160	166	869
161	167	867
162	168	865
163	169	863
164	170	861
165	171	859
166	171	857
167	172	855
168	173	853
169	174	851
170	175	849
171	176	847
172	176	845
173	177	843
174	178	839
175	178	837
176	179	834
177	180	832
178	181	830
179	181	828
180	182	826
181	183	824
182	184	822
183	184	820
184	185	818
185	186	815
186	187	813
187	187	811
188	188	810
189	189	808
190	190	806
191	191	804
192	191	802
193	192	800
194	193	798
195	194	796
196	194	794
197	195	792
198	196	790
199	197	788
200	197	786
201	198	785
202	199	783
203	200	781
204	201	779
205	201	777
206	202	776
207	203	774
208	204	772
209	204	771
210	205	769
211	206	767
212	207	765
213	208	764
214	208	762
215	209	760
216	210	758
217	211	757
218	211	755
219	212	754
220	213	752
221	215	753
222	216	754
223	218	755
224	219	755
225	220	756
226	222	757
227	223	758
228	225	758
229	227	760
230	228	760
231	230	761
232	230	760
233	231	758
234	232	757
235	233	755
236	234	753
237	234	751
238	235	749
239	236	748
240	237	746
241	237	745
242	238	743
243	239	741
244	240	739
245	240	738
246	241	736
247	242	734
248	243	733
249	244	732
250	244	730
251	245	729
252	246	727
253	247	726
254	248	725
255	249	723
256	249	722
257	250	720
258	251	719
259	252	718
260	253	716
261	253	715
262	254	713
263	255	712
264	256	710
265	257	709
266	257	707
267	258	706
268	259	704
269270	270	7270271	271	7271272	273	728
273	274	727
274	275	725
275	276	724
276	276	722
277	277	721
278	278	720
279	280	720
280	281	720
281	282	7281282	284	7282283	285	7283284	287	7284285	288	7285	279	698
286	280	697
287288	292	7288289	293	7289290	294	717
291	295	717
292	297	716
293	298	716
294	299	715
295	300	715
296	302	715
297	303	714
298	304	713
299	305	713
300	307	712
301	308	712
302	308	710
303	309	708
304	310	706
305	310	705
306	311	703
307	312	701
308	313	701
309	314	700
310	315	698
311	316	698
312	317	696
313	318	695
314	318	693
315	319	691
316	320	689
317	320	688
318	321	686
319	322	684
320	323	683
321	323	681
322	324	679
323	325	678
324	325	676
325	326	674
326	326	6326327	327	6327328	328	6328	318	649
329	319	648
330	319	646
331	321	647
332	322	645
333	323	644
334	323	642
335	324	641
336	325	640
337	326	638
338	327	637
339	327	636
340	328	634
341	329	633
342	330	632
343	331	631
344	331	630
345	332	628
346	333	627
347	334	626
348	334	624
349	335	623
350	336	622
351	337	620
352	338	619
353	339	618
354	339	617
355	340	616
356	341	614
357	34367	34358	34368	351	601
369	353	601
370	355	602
371	355	600
372	356	599
373	357	598
374	358	596
375	35366	35376	35367	352	606
368	354	606
369	355	606
370	357	606
371	359	607
372	360	605
373	361	605
374	363	605
375	364	605
376	366	605
377	367	605
378	369	606
379	370	604
380	372	604
381	373	604
382	375	605
383	377	605
384	378	604
385	380	605
386	381	604
387	383	604
388	384	604
389	386	604
390	387	603
391	389	603
392	390	603
393	392	603
394	393	603
395	395	603
396	396	601
397	397	600
398	397	599
399	398	598
400	399	596
401	400	595
402	401	594
403	402	593
404	402	591
405	403	590
406	404	589
407	405	587
408	406	586
409	406	585
410	407	584
411	408	583
412	409	581
413	410	580
414	410	579
415	411	578
416	412	576
417	413	575
418	414	574
419	415	573
420	415	571
421	416	570
422	417	569
423	418	567
424	418	566
425	419	565
426	420	563
427	420	562
428	421	561
429	422	559
430	423	558
431	423	557
432	424	556
433	425	554
434	426	553
435	427	552
436	427	551
437	428	549
438	429	548
439	430	547
440	430	546
441	431	545
442	432	543
443	433	542
444	434	541
445	434	540
446	435	538
447	436	537
448	437	536
449	438	535
450	439	534
451	439	533
452	440	532
453	441	531
454	442	529
455	443	528
456	444	527
457	445	526
458	445	525
459	446	524
460	447	523
461	448	522
462	449	520
463	449	519
464	450	518
465	451	517
466	452	516
467	453	515
468	453	513
469	454	512
470	455	511
471	456	510
472	456	509
473	457	507
474	458	506
475	459	505
476	460	504
477	460	503
478	461	501
479	462	500
480	462	499
481	463	498
482	464	497
483	465	495
484	465	494
485	466	493
486	467	492
487	468	491
488	469	490
489	470	489
490	471	488
491	471	487
492	472	485
493	473	484
494	473	483
495	474	482
496	475	481
497	476	480
498	477	478
499	477	477
500	478	476
501	479	475
502	480	474
503	481	473
504	481	472
505	482	471
506	483	470
507	484	468
508	484	467
509	485	466
510	486	465
511	487	464
512	487	463
513	488	462
514	489	461
515	490	460
516	491	458
517	492	457
518	492	456
519	493	455
520	494	454
521	495	453
522	495	452
523	496	450
524	497	449
525	497	448
526	498	447
527	499	446
528	500	445
529	500	444
530	501	443
531	502	441
532	503	440
533	503	439
534	504	438
535	505	437
536	505	436
537	506	435
538	507	433
539	508	432
540	508	431
541	50551	51542	51552	518	419
553	520	419
554	523	419
555	525	419
556	526	418
557	528	418
558	529	417
559	530	416
560	532	416
561	534	416
562	535	415
563	537	415
564	538	414
565	540	414
566	541	413
567	542	412
568	544	412
569	546	411
570	547	411
571	548	410
572	550	410
573	551	409
574	552	408
575	554	407
576	555	407
577	557	407
578	559	406
579	560	405
580	562	405
581	563	404
582	564	403
583	565	402
584	566	401
585	567	400
586	567	399
587	568	398
588	569	397
589	569	396
590	570	394
591	571	393
592	572	392
593	573	391
594	573	390
595	574	389
596	575	388
597	576	387
598	576	386
599	577	385
600	578	384
601	579	383
602	580	382
603	581	381
604	582	380
605	582	379
606	583	377
607	584	376
608	585	375
609	586	374
610	586	373
611	587	372
612	588	371
613	589	370
614	589	369
615	590	368
616	591	367
617	592	365
618	592	364
619	593	363
620	594	362
621	595	361
622	595	360
623	596	359
624	597	358
625	598	357
626	598	356
627	599	355
628	600	354
629	601	352
630	601	351
631	602	350
632	603	349
633	603	348
634	604	347
635	605	346
636	606	345
637	606	344
638	607	343
639	608	342
640	609	341
641	610	340
642	610	339
643	611	338
644	612	337
645	613	336
646	613	334
647	614	334
648	615	332
649	616	331
650	617	330
651	618	329
652	618	328
653	619	327
654	620	326
655	621	325
656	622	324
657	622	323
658	623	322
659	624	321
660	625	320
661	626	319
662	626	318
663	627	317
664	628	316
665	629	315
666	630	314
667	630	313
668	631	312
669	632	311
670	633	310
671	634	309
672	634	308
673	635	307
674	635	306
675	636	305
676	637	304
677	638	303
678	639	302
679	639	301
680	640	300
681	641	299
682	642	298
683	643	297
684	643	296
685	644	295
686	645	294
687	646	293
688	646	292
689	647	291
690	648	290
691	649	289
692	650	288
693	651	287
694	651	286
695	652	285
696	653	284
697	654	283
698	655	282
699	655	281
700	656	280
701	657	279
702	658	278
703	659	277
704	660	276
705	660	275
706	661	274
707	662	273
708	663	272
709	663	271
710	664	270
711	666	269
712	667	268
713	668	267
714	669	266
715	669	265
716	670	264
717	670	263
718	671	262
719	672	261
720	673	260
721	673	259
722	674	258
723	675	257
724	676	256
725	67716	66726	67717	66727	67718	670	262
719	672	261
720	673	260
721	674	259
722	674	258
723	675	257
724	677	257
725	678	255
726	679	254
727	679	253
728	680	253
729	681	252
730	682	251
731	683	250
732	684	249
733	685	248
734	686	247
735	687	246
736	688	245
737	690	245
738	690	244
739	691	243
740	692	242
741	693	241
742	693	240
743	694	238
744	695	237
745	696	237
746	697	236
747	698	235
748	700	234
749	701	233
750	702	232
751	702	231
752	704	231
753	705	230
754	707	229
755	708	228
756	709	227
757	710	226
758	711	226
759	713	225
760	714	224
761	715	223
762	716	222
763	718	221
764	719	220
765	720	220
766	721	219
767	722	218
768	723	217
769	724	216
770	724	215
771	725	214
772	726	213
773	726	212
774775	741	2775776	742	2776777	744	212
778	744	211
779	745	210
780	746	209
781	747	208
782	748	207
783	749	206
784	750	205
785	751	204
786	753	203
787	753	202
788	755	202
789	756	201
790	758	200
791	759	199
792	760	198
793	761	197
794	762	196
795	763	195
796	764	194
797	766	194
798	767	193
799	768	192
800	769	191
801	770	190
802	772	189
803	773	188
804	774	187
805	775	186
806	777	185
807	778	184
808	779	184
809	780	183
810	782	182
811	783	181
812	784	180
813	785	179
814823	781	1815824	783	1816825	784	1817	790	175
818	791	175
819	793	174
820	794	173
821	795	172
822	796	171
823	798	170
824	799	169
825	800	168
826	801	167
827	802	166
828	804	165
829	805	164
830	806	164
831	807	163
832	808	162
833	810	161
834	811	160
835	812	159
836	813	158
837	814	157
838	815	156
839	817	155
840	818	154
841	819	153
842	820	152
843	821	151
844	822	150
845	824	150
846	824	148
847	826	148
848	828	147
849	828	146
850	828	145
851	831	144
852	831	143
853	833	142
854	835	141
855	836	140
856	837	139
857	838	138
858	839	137
859	841	136
860	842	135
861	843	135
862	844	134
863	846	133
864	847	132
865	848	131
866	849	130
867	851	129
868	852	128
869	853	127
870	854	126
871	855	125
872	856	124
873	857	123
874	858	122
875	859	121
876	860	120
877	862	119
878	863	118
879	864	117
880	865	116
881	867	116
882	868	115
883	869	114
884	870	113
885	871	112
886	872	111
887	874	110
888	875	109
889	876	108
890	877	107
891	878	106
892	880	105
893	881	104
894	882	103
895	883	102
896	885	101
897	887	100
898	889	99
899	890	98
900	891	97
901	891	96
902	892	95
903	893	94
904	893	93
905	894	92
906	895	91
907	895	90
908	896	89
909	897	88
910	897	87
911	898	86
912	898	85
913	899	84
914	900	83
915	900	82
916	901	81
917	902	80
918	902	79
919	903	78
920	904	77
921	904	76
922	905	75
923	906	74
924	906	73
925	907	72
926	907	71
927	908	70
928	909	69
929	909	68
930	910	67
931	911	66
932	911	65
933	912	64
934	912	63
935	913	62
936	914	61
937	914	60
938	915	59
939	916	58
940	916	57
941	917	56
942	918	55
943	91943	9944	91944	905	52
945	907	51
