epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80858,2.06456,3.13357,2.03374,0.24027,0.903,0.29172,0.10303,2.40708,2.82386,1.84123,0.0001625,0.0001625,0.0001625
2,13.8318,1.04754,1.37946,1.11776,0.29675,0.41782,0.34632,0.25475,1.16337,2.26501,1.15187,0.000334159,0.000334159,0.000334159
3,20.8206,0.87096,1.0089,1.03293,0.16229,0.13042,0.09123,0.06176,2.02311,4.08549,1.76992,0.000502353,0.000502353,0.000502353
4,27.6782,0.95502,0.89457,1.08744,0.50028,0.01562,9e-05,1e-05,5.11633,27.3605,8.80646,0.000667081,0.000667081,0.000667081
5,34.6272,0.91539,0.80231,1.06299,0.00017,0.02083,7e-05,4e-05,4.97345,inf,12.3988,0.000828345,0.000828345,0.000828345
6,41.5248,0.90803,0.75177,1.06019,0.00525,0.02225,0.00273,0.00184,4.00537,inf,7.63005,0.000986144,0.000986144,0.000986144
7,48.3568,0.88696,0.8043,1.05934,0.25007,0.00357,2e-05,0,4.09779,8.71834,6.36551,0.00114048,0.00114048,0.00114048
8,55.2367,0.8679,0.75096,1.0467,0.84426,0.08214,0.0727,0.02776,2.47409,22.064,3.06185,0.00116337,0.00116337,0.00116337
9,62.0595,0.82039,0.70008,1.02337,0.5828,0.62205,0.57734,0.37001,1.22897,2.45475,1.40662,0.001151,0.001151,0.001151
10,69.1437,0.8023,0.69585,1.01374,0.52473,0.51386,0.43346,0.33064,1.00754,8.51803,1.17053,0.00113863,0.00113863,0.00113863
11,76.1402,0.88681,0.69009,1.05449,0.63065,0.40494,0.56055,0.39984,1.25151,6.88832,1.36965,0.00112625,0.00112625,0.00112625
12,83.05,0.80518,0.67324,1.0103,0.33629,0.37234,0.29728,0.17831,1.81052,4.18088,2.02551,0.00111388,0.00111388,0.00111388
13,89.904,0.80624,0.65259,1.01367,0.65121,0.55911,0.59963,0.43454,0.92867,1.72033,1.04234,0.0011015,0.0011015,0.0011015
14,96.8865,0.74089,0.60152,0.99237,0.74951,0.59024,0.79296,0.61359,0.9134,2.76527,1.02017,0.00108913,0.00108913,0.00108913
15,103.802,0.74389,0.57903,0.99335,0.90661,0.89021,0.93491,0.72831,0.85418,0.57941,0.9786,0.00107675,0.00107675,0.00107675
16,110.692,0.75043,0.57253,0.99886,0.73282,0.60077,0.74198,0.58198,0.8156,1.37992,1.00022,0.00106437,0.00106437,0.00106437
17,117.531,0.71698,0.5651,0.98363,0.87421,0.82023,0.93175,0.76732,0.71722,0.64795,0.94059,0.001052,0.001052,0.001052
18,124.498,0.71893,0.55,0.98684,0.70982,0.6798,0.73447,0.57602,0.77156,1.57161,0.98055,0.00103962,0.00103962,0.00103962
19,131.343,0.75327,0.55122,0.99032,0.83984,0.90859,0.93768,0.78054,0.74184,0.50314,0.93095,0.00102725,0.00102725,0.00102725
20,138.247,0.71253,0.53088,0.98363,0.68803,0.61899,0.6755,0.5528,0.74122,1.4034,0.97325,0.00101488,0.00101488,0.00101488
21,145.113,0.70459,0.53085,0.97724,0.71429,0.74065,0.82901,0.70801,0.60374,0.93306,0.90949,0.0010025,0.0010025,0.0010025
22,151.952,0.75333,0.52868,0.99424,0.93235,0.88046,0.95064,0.7488,0.92798,0.50419,0.98798,0.000990125,0.000990125,0.000990125
23,158.793,0.70439,0.51121,0.97647,0.84941,0.90095,0.94475,0.76281,0.82691,0.54123,0.96068,0.00097775,0.00097775,0.00097775
24,165.668,0.75117,0.51411,0.99024,0.9235,0.93351,0.97152,0.77226,0.91775,0.45121,0.99343,0.000965375,0.000965375,0.000965375
25,172.538,0.67139,0.48562,0.96438,0.91059,0.85024,0.9432,0.80706,0.68051,0.55078,0.92064,0.000953,0.000953,0.000953
26,179.446,0.68209,0.49807,0.97046,0.92949,0.89426,0.96561,0.8148,0.68343,0.46946,0.91,0.000940625,0.000940625,0.000940625
27,186.382,0.71529,0.52895,0.97344,0.96385,0.9529,0.97502,0.82857,0.71284,0.38169,0.92414,0.00092825,0.00092825,0.00092825
28,193.314,0.67805,0.48618,0.9747,0.88626,0.89604,0.96028,0.84361,0.58667,0.46156,0.88783,0.000915875,0.000915875,0.000915875
29,200.256,0.69244,0.49096,0.97369,0.90667,0.86376,0.95275,0.74954,0.89931,0.56674,0.99136,0.0009035,0.0009035,0.0009035
30,207.137,0.69317,0.48761,0.97373,0.90962,0.88467,0.96346,0.84462,0.6114,0.4598,0.8912,0.000891125,0.000891125,0.000891125
31,214.074,0.67328,0.48502,0.96597,0.93264,0.92738,0.96655,0.79706,0.78245,0.42329,0.94293,0.00087875,0.00087875,0.00087875
32,220.961,0.68366,0.46394,0.97346,0.78944,0.87578,0.93023,0.73195,0.93008,0.69403,0.98154,0.000866375,0.000866375,0.000866375
33,227.855,0.64357,0.45371,0.951,0.55084,0.62808,0.5984,0.23266,2.1942,1.90125,1.83645,0.000854,0.000854,0.000854
34,234.73,0.70939,0.4656,0.96969,0.81116,0.76293,0.87104,0.75138,0.65777,0.77203,0.91618,0.000841625,0.000841625,0.000841625
35,241.588,0.66403,0.44567,0.96222,0.78464,0.71505,0.76457,0.5526,0.93059,1.08837,1.02551,0.00082925,0.00082925,0.00082925
36,248.46,0.63171,0.44067,0.94716,0.6699,0.42888,0.5204,0.39043,1.28974,2.77105,1.40952,0.000816875,0.000816875,0.000816875
