epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4637,2.45794,4.94025,1.78743,0.43577,0.59857,0.47353,0.19981,1.77079,69.2248,1.16421,0.00330846,0.00330846,0.00330846
2,121.198,1.72093,1.61971,1.27431,0.5159,0.66421,0.52242,0.18583,1.87533,93.3965,1.21089,0.00657604,0.00657604,0.00657604
3,183.992,1.70862,1.53065,1.25617,0.19173,0.2758,0.14982,0.04577,2.32266,1337.5,1.41687,0.00977762,0.00977762,0.00977762
4,245.033,1.70278,1.51342,1.25415,0.3764,0.50988,0.34219,0.11803,2.05085,265.197,1.36314,0.009703,0.009703,0.009703
5,306.162,1.65052,1.34784,1.23549,0.6087,0.60813,0.56859,0.23302,1.71651,164.149,1.14371,0.009604,0.009604,0.009604
6,367.53,1.62207,1.27906,1.21504,0.57561,0.79796,0.60153,0.27061,1.61561,102.172,1.0771,0.009505,0.009505,0.009505
7,428.831,1.59955,1.21503,1.19974,0.60423,0.74219,0.5942,0.22562,1.88042,79.448,1.22014,0.009406,0.009406,0.009406
8,490.303,1.57225,1.18614,1.19517,0.48821,0.58351,0.46211,0.2136,1.68947,104.469,1.11354,0.009307,0.009307,0.009307
9,551.589,1.55261,1.12978,1.18408,0.65771,0.83461,0.6765,0.27837,1.7374,64.7953,1.136,0.009208,0.009208,0.009208
10,612.836,1.53419,1.10834,1.17787,0.61283,0.78333,0.61741,0.23535,1.90463,61.5509,1.15737,0.009109,0.009109,0.009109
11,674.032,1.53192,1.09424,1.17079,0.64799,0.81676,0.64187,0.24162,1.87247,76.1173,1.21181,0.00901,0.00901,0.00901
12,735.209,1.51204,1.06727,1.15883,0.6927,0.90374,0.7218,0.35045,1.50747,73.8754,1.0228,0.008911,0.008911,0.008911
13,796.474,1.51015,1.04533,1.166,0.69195,0.8891,0.74127,0.35279,1.54888,72.6893,1.04293,0.008812,0.008812,0.008812
14,857.742,1.50525,1.02685,1.16034,0.69725,0.89772,0.72505,0.33162,1.60247,98.5773,1.08339,0.008713,0.008713,0.008713
15,919.027,1.49066,1.01834,1.15459,0.69283,0.88149,0.72751,0.33515,1.61799,88.8332,1.08198,0.008614,0.008614,0.008614
