epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5875,2.45794,4.94025,1.78743,0.43577,0.59857,0.47353,0.19981,1.77079,69.2248,1.16421,0.00330846,0.00330846,0.00330846
2,121.746,1.71994,1.61845,1.27351,0.61676,0.61073,0.53903,0.2122,1.76257,69.9028,1.1321,0.00659796,0.00659796,0.00659796
3,183.754,1.69714,1.51979,1.25286,0.21688,0.31928,0.22456,0.08816,2.01566,407.487,1.38433,0.00984345,0.00984345,0.00984345
4,245.291,1.70591,1.50719,1.26255,0.57828,0.65376,0.5316,0.20766,1.78353,134.754,1.18673,0.009802,0.009802,0.009802
5,306.766,1.64939,1.34781,1.23866,0.55205,0.78883,0.6088,0.25273,1.72084,112.886,1.12974,0.009736,0.009736,0.009736
6,368.305,1.62377,1.29067,1.21536,0.55761,0.67227,0.55375,0.25135,1.64965,81.0149,1.09191,0.00967,0.00967,0.00967
7,429.841,1.59784,1.22777,1.20286,0.62886,0.76048,0.63463,0.28261,1.6197,78.2099,1.08331,0.009604,0.009604,0.009604
8,491.364,1.57407,1.17791,1.1959,0.63383,0.81995,0.65983,0.24924,1.83914,84.5438,1.18159,0.009538,0.009538,0.009538
9,552.891,1.55031,1.13192,1.183,0.66109,0.76012,0.61988,0.22705,1.89913,78.7297,1.21443,0.009472,0.009472,0.009472
10,614.411,1.54096,1.11584,1.18162,0.6337,0.77859,0.63362,0.25642,1.81106,56.8406,1.11984,0.009406,0.009406,0.009406
11,675.788,1.539,1.09745,1.17536,0.65743,0.84766,0.64898,0.24673,1.81969,92.4124,1.19107,0.00934,0.00934,0.00934
12,737.166,1.5127,1.06311,1.15808,0.68898,0.85456,0.70826,0.32973,1.58123,90.6612,1.06217,0.009274,0.009274,0.009274
13,798.554,1.51273,1.06196,1.16581,0.69291,0.85147,0.72845,0.34193,1.56548,91.5583,1.05012,0.009208,0.009208,0.009208
14,859.937,1.50389,1.03794,1.16075,0.70227,0.88502,0.74152,0.36293,1.50921,83.739,1.02967,0.009142,0.009142,0.009142
15,921.482,1.49212,1.02773,1.15702,0.69353,0.89401,0.73057,0.34359,1.58108,95.0743,1.05391,0.009076,0.009076,0.009076
16,982.932,1.48254,1.00214,1.14979,0.67359,0.87526,0.73316,0.33799,1.63137,89.2014,1.07779,0.00901,0.00901,0.00901
17,1044.46,1.47852,0.9998,1.15171,0.69604,0.90466,0.75372,0.35099,1.60329,83.4383,1.06592,0.008944,0.008944,0.008944
18,1105.94,1.48642,0.98641,1.14372,0.6922,0.94259,0.74978,0.37584,1.47644,84.6279,1.00903,0.008878,0.008878,0.008878
19,1167.36,1.46339,0.97011,1.14529,0.70104,0.89509,0.75772,0.3788,1.50087,82.0519,1.01898,0.008812,0.008812,0.008812
20,1228.87,1.47371,0.97219,1.14696,0.70471,0.91438,0.75719,0.3764,1.50326,78.231,1.01838,0.008746,0.008746,0.008746
21,1290.27,1.45525,0.96903,1.14285,0.68703,0.91066,0.75023,0.33411,1.70304,84.258,1.10704,0.00868,0.00868,0.00868
22,1351.66,1.45297,0.96268,1.13871,0.70489,0.93444,0.77727,0.39716,1.46981,72.3845,1.00673,0.008614,0.008614,0.008614
23,1413.09,1.44346,0.93445,1.1348,0.69869,0.93852,0.77596,0.3945,1.49647,81.4201,1.01892,0.008548,0.008548,0.008548
24,1474.6,1.44711,0.94961,1.13498,0.69727,0.89964,0.76554,0.39363,1.47838,91.5867,1.00747,0.008482,0.008482,0.008482
25,1536.04,1.44241,0.93091,1.12876,0.70574,0.94608,0.7779,0.37912,1.55568,91.249,1.04127,0.008416,0.008416,0.008416
26,1597.49,1.43262,0.92478,1.13026,0.70963,0.91823,0.78448,0.39587,1.51315,90.0861,1.02796,0.00835,0.00835,0.00835
